Fecha,ID_Usuario,Nombre,Estado
2025-03-21 00:13:12,6789,Giovanni,Exitoso
2025-03-21 00:14:18,12345,Kevin,Exitoso
2025-03-21 13:24:56,6789,Giovanni,Exitoso
2025-03-25 16:51:34,desconocido,No identificado,Fallido
